dist,episode_num,reward
96,5,46.2777
96,5,46.2777
91,10,34.739000000000004
45,60,19.3949
27,110,23.5071
108,160,28.3558
130,210,26.0849
65,260,60.2715
119,310,35.721
15,360,7.2424
128,410,36.6417
185,460,31.5474
306,510,51.9244
322,511,19.7632
528,512,32.4067
24,513,1.473
2,514,0.1228
581,515,35.6596
533,516,32.7136
38,517,2.3323
367,518,22.5251
536,519,32.8977
294,520,18.0446
529,521,32.4681
287,522,17.615
547,523,33.5728
553,524,33.9411
356,534,145.2777
292,544,85.0676
284,554,89.2412
357,564,93.783
247,574,112.5028
228,584,85.3131
245,594,111.9504
68,604,104.708
521,614,172.8971
593,615,36.3962
574,620,174.9225
184,625,129.3199
287,630,131.2226
252,635,139.6311
564,640,111.8277
586,645,115.4488
579,650,160.5604
289,655,98.018
554,660,136.0713
579,665,146.6894
243,670,94.9492
236,675,114.0372
227,680,114.7123
560,685,131.8363
592,690,137.974
594,695,177.3162
228,700,136.0099
266,705,134.5369
254,710,137.4216
168,715,153.3794
594,720,179.6485
571,725,149.3286
154,730,147.2418
538,735,174.9839
559,740,150.0651
575,745,157.9213
295,750,150.1879
590,755,175.5976
577,760,116.3081
259,765,111.9504
580,770,171.6082
533,775,152.7043
580,780,177.1934
430,785,156.2027
552,790,145.4005
594,795,156.4482
593,800,136.99200000000002
593,805,177.8072
249,810,136.6237
254,815,147.4873
268,820,104.0329
238,825,152.8884
567,830,154.3614
589,835,177.1321
562,840,167.6801
593,845,175.7818
183,850,115.2647
284,855,158.04399999999995
581,860,153.3794
424,865,107.7154
575,870,176.7024
284,875,160.0081
549,880,155.3434
253,885,156.8165
548,890,153.3794
239,895,98.3249
258,900,157.4916
257,905,136.5009
588,910,90.4073
577,915,176.8865
530,920,161.5425
594,925,177.93
574,930,152.2746
256,935,157.1234
233,940,96.2995
585,945,97.8338
257,950,79.421
563,955,118.5177
293,960,142.7613
560,965,140.7973
545,970,140.6745
237,975,73.71300000000002
434,980,130.2406
583,985,159.2715
587,990,158.2895
274,995,140.3063
293,1000,88.3819
547,1005,123.4277
295,1010,90.5301
295,1015,90.4073
295,1020,90.346
592,1025,108.8202
556,1030,174.7384
567,1035,158.4123
550,1040,154.1773
594,1045,156.1414
593,1050,176.5183
580,1055,100.1048
563,1060,173.4495
288,1065,141.7793
537,1070,121.2182
177,1075,112.9938
556,1080,148.1011
158,1085,78.1934
293,1090,98.01799999999999
580,1095,95.4402
294,1100,100.7185
575,1105,155.7117
253,1110,118.3949
572,1115,154.4842
592,1120,142.6386
292,1125,105.5059
589,1130,107.5313
292,1135,89.3639
588,1140,107.7768
288,1145,124.2257
274,1150,82.1215
281,1155,88.075
276,1160,84.7607
572,1165,138.2808
565,1170,140.0608
293,1175,124.1643
255,1180,80.9554
252,1185,113.3007
260,1190,95.8698
294,1195,101.3323
582,1200,160.1308
275,1205,151.7222
257,1210,105.4445
563,1215,149.8196
290,1220,116.0626
292,1225,89.8549
584,1230,106.6106
289,1235,110.907
296,1240,141.5338
263,1245,103.1736
288,1250,142.0248
553,1255,155.5276
549,1260,175.9045
86,1265,130.2405
569,1270,174.2473
585,1275,172.7743
292,1280,89.8549
292,1285,89.7322
293,1290,89.54799999999999
538,1295,159.3943
547,1300,155.7117
291,1305,123.3664
291,1310,86.4178
290,1315,120.4203
580,1320,111.6435
258,1325,97.4042
277,1330,104.8308
294,1335,104.5239
577,1340,97.1587
266,1345,122.0161
594,1350,105.9356
290,1355,157.2461
548,1360,111.5821
283,1365,97.1587
279,1370,121.4024
270,1375,83.6559
571,1380,140.7359
260,1385,102.4371
283,1390,86.7861
283,1395,86.4792
242,1400,76.5976
593,1405,103.6032
273,1410,74.1426
268,1415,103.726
120,1420,95.0719
260,1425,84.3924
260,1430,117.3515
288,1435,94.0899
283,1440,122.3844
242,1445,67.7594
260,1450,79.6051
263,1455,139.6925
248,1460,79.7278
575,1465,98.7545
264,1470,77.0886
297,1475,80.0961
265,1480,81.8146
592,1485,120.85
289,1490,143.191
141,1495,76.7204
278,1500,86.111
263,1505,119.1928
262,1510,82.0601
268,1515,82.9194
292,1520,106.67200000000001
594,1525,106.2424
276,1530,95.4402
245,1535,75.4929
273,1540,104.4011
253,1545,102.3757
258,1550,78.9913
291,1555,86.111
287,1560,87.5226
594,1565,124.4098
580,1570,107.0403
270,1575,95.0105
287,1580,120.2362
580,1585,140.7973
256,1590,85.3745
257,1595,79.3596
225,1600,76.4135
287,1605,96.7905
290,1610,88.9957
284,1615,107.0403
218,1620,77.641
272,1625,102.1302
267,1630,83.9628
292,1635,82.4898
271,1640,83.9628
293,1645,89.8549
290,1650,105.7514
293,1655,89.9163
570,1660,122.0775
275,1665,105.8741
250,1670,74.1426
285,1675,82.9808
263,1680,79.7892
294,1685,104.708
239,1690,102.744
594,1695,107.2858
249,1700,103.9715
292,1705,120.7272
260,1710,75.3701
253,1715,80.0961
286,1720,84.0242
293,1725,90.1004
293,1730,78.2548
275,1735,99.982
279,1740,74.0812
255,1745,114.5282
227,1750,99.6751
581,1755,155.7117
250,1760,91.32799999999999
234,1765,99.491
295,1770,89.855
287,1775,88.9343
278,1780,79.5437
588,1785,124.3484
271,1790,101.7006
282,1795,83.7787
279,1800,81.9374
285,1805,86.111
594,1810,96.7291
289,1815,89.3639
85,1820,75.0019
293,1825,124.9622
584,1830,142.6385
271,1835,96.0539
242,1840,77.8865
267,1845,100.2275
279,1850,74.0812
261,1855,71.933
269,1860,82.4898
294,1865,71.7489
293,1870,89.1798
297,1875,106.6106
296,1880,90.8983
292,1885,90.1618
296,1890,101.0254
296,1895,89.4253
297,1900,90.1618
294,1905,125.5759
295,1910,89.5481
292,1915,87.3385
294,1920,107.2858
294,1925,90.1004
594,1930,117.10600000000001
292,1935,124.1029
255,1940,120.1748
224,1945,134.4141
194,1950,117.3515
534,1955,137.4829
247,1960,72.4854
288,1965,86.111
272,1970,84.2083
269,1975,86.3565
252,1980,102.3143
144,1985,114.2213
281,1990,77.2728
594,1995,99.6138
425,2000,146.0143
573,2005,143.1296
269,2010,102.8053
282,2015,74.0812
272,2020,85.4972
239,2025,82.7353
