dist,episode_num,reward
898,1,55.1159
898,1,55.1159
722,2,99.4296
728,3,144.1116
722,4,188.4253
722,5,232.739
653,6,217.7018
720,7,217.579
259,8,188.7935
722,9,188.7935
721,10,188.7322
269,11,165.1636
722,12,165.2864
722,13,193.7036
227,14,163.3224
722,15,163.3837
279,16,163.9975
217,17,133.0025
722,18,133.0025
276,19,136.0099
840,20,143.2523
722,21,44.3137
722,22,88.6274
260,23,104.5852
721,24,148.8376
282,25,166.1457
721,26,166.0843
722,27,166.0843
297,28,168.3552
295,29,142.2089
722,30,169.2145
294,31,143.0068
297,32,116.9219
285,33,116.1854
722,34,142.3931
270,35,114.65100000000001
296,36,114.7737
722,37,140.8586
722,38,167.6801
273,39,140.1221
294,40,141.5952
674,41,164.7954
292,42,138.4036
292,43,112.0118
722,44,139.5697
721,45,165.7774
281,46,141.6565
295,47,141.8407
849,48,176.0273
296,49,149.881
722,50,149.9423
286,51,150.2492
721,52,176.3955
294,53,142.3317
722,54,168.47799999999995
722,55,168.47799999999995
680,56,192.6603
286,57,165.9616
843,58,199.6572
697,59,198.1228
722,60,198.1228
656,61,196.6497
686,62,221.2003
296,63,187.6274
722,64,189.1618
722,65,189.1618
722,66,193.2126
288,67,168.7849
722,68,194.9312
295,69,168.7235
708,70,167.8642
294,71,141.5952
291,72,141.7793
722,73,141.7793
689,74,165.9616
722,75,166.8208
297,76,167.0049
279,77,166.2684
695,78,164.6113
275,79,139.2015
248,80,110.1091
722,81,136.194
722,82,163.3837
231,83,134.9051
722,84,162.3403
898,85,202.235
292,86,175.8431
271,87,148.1624
722,88,178.2982
721,89,178.2368
291,90,140.9814
722,91,167.3732
667,92,191.6782
722,93,191.6782
722,94,191.7396
795,95,222.6733
285,96,195.8518
722,97,199.2275
722,98,199.2275
722,99,199.2275
722,100,194.7471
809,101,226.9082
722,102,226.9082
849,103,234.703
289,104,208.1271
722,105,208.1271
722,106,202.7874
898,107,213.5896
722,108,205.7948
283,109,205.4265
721,110,205.3652
722,111,205.3652
722,112,194.5629
680,113,191.9851
682,114,216.4743
722,115,216.5356
722,116,216.5356
292,117,190.1438
297,118,166.6367
722,119,169.0917
722,120,169.0917
685,121,166.8208
266,122,165.225
722,123,191.31
683,124,188.9163
722,125,188.9163
685,126,188.9163
722,127,216.9039
296,128,190.7576
722,129,193.1513
296,130,167.0049
295,131,143.0682
722,132,143.0682
722,133,169.2145
295,134,143.0068
683,135,166.7595
722,136,192.9671
722,137,192.9671
690,138,191.0031
722,139,217.2108
231,140,189.4687
722,141,189.4687
245,142,160.1922
854,143,170.2579
722,144,170.2579
898,145,211.1959
819,146,217.1494
898,147,257.2282
722,148,249.1265
722,149,249.1265
697,150,236.7898
722,151,230.8363
722,152,220.0341
722,153,220.0341
722,154,220.0341
722,155,221.5685
722,156,221.5685
722,157,221.5685
722,158,221.5685
693,159,219.7886
294,160,193.5195
297,161,167.4346
848,162,175.168
672,163,172.0992
898,164,184.6813
248,165,181.858
722,166,207.943
694,167,198.49099999999999
721,168,201.4984
722,169,190.6962
722,170,219.7886
693,171,218.0087
235,172,189.8369
722,173,189.8983
722,174,189.8983
292,175,163.5065
295,176,139.0787
722,177,168.96900000000005
296,178,142.8227
722,179,142.8227
722,180,169.2145
287,181,168.7235
294,182,142.4544
722,183,168.6007
296,184,142.4544
295,185,116.2467
295,186,116.7378
898,187,153.8091
722,188,153.8091
722,189,179.9554
722,190,206.1631
693,191,230.5908
722,192,219.7886
290,193,193.274
898,194,204.0763
722,195,204.0763
294,196,179.5871
703,197,178.421
869,198,213.9579
687,199,201.0075
722,200,201.0075
722,201,227.2765
721,202,228.3813
722,203,219.359
296,204,195.3608
722,205,195.3608
295,206,169.1531
721,207,169.1531
293,208,142.8227
722,209,168.96900000000005
296,210,142.8227
241,211,139.5084
722,212,139.5697
722,213,165.9002
722,214,165.9002
722,215,192.0465
898,216,232.3707
693,217,230.5908
898,218,241.3931
277,219,214.0806
686,220,211.8711
722,221,201.0688
295,222,176.6411
297,223,139.7539
722,224,167.0663
898,225,180.0781
650,226,175.65900000000005
722,227,201.8667
721,228,227.8903
722,229,227.8903
722,230,217.088
294,231,195.2381
722,232,195.2381
244,233,165.9616
722,234,165.9616
722,235,165.9616
722,236,192.2306
296,237,166.0843
722,238,195.4222
722,239,195.4222
694,240,193.7036
722,241,193.7036
722,242,219.85
294,243,193.5809
722,244,193.5809
722,245,195.2994
722,246,195.2994
247,247,166.1457
692,248,190.5735
